"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","learning_rate","num_epochs","shape","Test Loss","Training Loss","Validation Loss"
"E39","finished","-","fh720","Experiment","2022-11-25T14:52:27.000Z","924","","16","0.001","1000","[9,256,1]","4057522764.923077","4078041988.6489105","4038252476"
"E43","finished","-","fh720","Experiment","2022-11-25T16:06:24.000Z","532","","32","0.001","1000","[9,256,1]","4120079086.769231","4157496029.9079905","4150899741.5384617"
"E9","finished","-","thesanjeetc","Experiment","2022-11-25T13:20:38.000Z","82","","512","0.001","500","[9,64,64,1]","4164024128","4256036736","4145317952"
"E15","finished","-","fh720","Experiment","2022-11-25T13:13:22.000Z","386","","32","0.0001","500","[9,128,128,1]","4223673341.5384617","4284421486.024213","4225162564.923077"
"E41","finished","-","fh720","Experiment","2022-11-25T15:45:15.000Z","518","","32","0.001","1000","[9,128,1]","4227664627.692307","4248874237.8305087","4202128371.692307"
"E13","finished","-","fh720","Experiment","2022-11-25T13:03:13.000Z","334","","32","0.0001","500","[9,64,64,1]","4399158471.384615","4481569749.539951","4398141521.230769"
"E37","finished","-","fh720","Experiment","2022-11-25T14:13:43.000Z","924","","16","0.001","1000","[9,128,1]","4402750795.076923","4170540492.9394674","4138579168.6153846"
"E2","finished","-","thesanjeetc","Experiment","2022-11-25T13:00:59.000Z","236","","32","0.001","500","[9,128,1]","4409746995.692307","4487860917.617434","4405004758.153846"
"E0","finished","-","thesanjeetc","Experiment","2022-11-25T12:51:59.000Z","240","","32","0.001","500","[9,64,1]","4489585080.615385","4591173611.234867","4496796014.769231"
"E19","finished","-","fh720","Experiment","2022-11-25T13:25:43.000Z","137","","128","0.0001","500","[9,128,128,1]","4744057245.538462","4819277148.307693","4732941174.153846"
"E6","finished","-","thesanjeetc","Experiment","2022-11-25T13:15:01.000Z","106","","128","0.001","500","[9,128,1]","5211100041.846154","5387189779.692307","5221470739.692307"
"E17","finished","-","fh720","Experiment","2022-11-25T13:21:43.000Z","121","","128","0.0001","500","[9,64,64,1]","6705094813.538462","6856327904","6693475091.692307"
"E4","finished","-","thesanjeetc","Experiment","2022-11-25T13:11:09.000Z","102","","128","0.001","500","[9,64,1]","7810616910.769231","7958480192","7802178284.307693"
"E14","finished","-","fh720","Experiment","2022-11-25T13:08:50.000Z","268","","32","0.0001","500","[9,128,1]","16866814247.384617","17258003943.20581","16963459623.384617"
"E23","finished","-","fh720","Experiment","2022-11-25T13:32:16.000Z","85","","512","0.0001","500","[9,128,128,1]","18140391168","19083873752.615383","18172817152"
"E10","finished","-","thesanjeetc","Experiment","2022-11-25T13:22:05.000Z","80","","512","0.001","500","[9,128,1]","25892966912","25820448059.076923","25756405248"
"E12","finished","-","fh720","Experiment","2022-11-25T12:58:40.000Z","271","","32","0.0001","500","[9,64,1]","29673795603.692307","29667223827.215496","29653322240"
"E8","finished","-","thesanjeetc","Experiment","2022-11-25T13:19:15.000Z","78","","512","0.001","500","[9,64,1]","38582400000","38098334641.23077","38455037952"
"E21","finished","-","fh720","Experiment","2022-11-25T13:29:34.000Z","76","","512","0.0001","500","[9,64,64,1]","40184206336","40387003628.30769","41421392896"
"E18","finished","-","fh720","Experiment","2022-11-25T13:23:50.000Z","107","","128","0.0001","500","[9,128,1]","51841606892.30769","50884805297.23077","51847404307.69231"
"E16","finished","-","fh720","Experiment","2022-11-25T13:19:52.000Z","105","","128","0.0001","500","[9,64,1]","54484890230.15385","53893151547.07692","54531573602.46154"
"E22","finished","-","fh720","Experiment","2022-11-25T13:30:57.000Z","72","","512","0.0001","500","[9,128,1]","57908850688","55679785905.23077","57300115456"
"E20","finished","-","fh720","Experiment","2022-11-25T13:28:06.000Z","82","","512","0.0001","500","[9,64,1]","58700485632","55901857161.84615","57686553600"
"E44","crashed","-","fh720","Experiment","2022-11-25T16:15:22.000Z","858","","32","0.001","1000","[9,256,256,1]","","2862136954.2663436","3018786294.1538463"
"E32","running","-","thesanjeetc","Experiment","2022-11-25T16:25:35.000Z","916","","32","0.01","1000","[9,256,256,1]","","1573928407.5544794","2851402424.6153846"
